max_acc_mag,max_gyro_mag,max_jerk,pre_roll,post_roll,pre_pitch,post_pitch,delta_roll_window,delta_pitch_window
13.777155,3.312099,132.42116,-2.037857,-1.3038837,1.158496,1.2332537,0.7339734,0.074757695
13.823893,3.312099,136.5314,-1.6589129,-1.2706612,1.1885507,1.2869366,0.38825166,0.09838593
10.5948105,0.8660254,53.515198,-0.807738,-0.84928834,0.671822,0.76699567,-0.04155034,0.09517366
13.525162,2.3895605,64.977646,-0.8167943,-1.4114234,0.73101413,1.0282022,-0.59462917,0.29718804
13.544003,2.3895605,75.06809,-1.135587,-1.5077701,0.95468235,1.0133216,-0.37218308,0.058639288
14.773287,2.4677925,127.09179,-1.8356844,-1.5955008,1.1031606,1.0647492,0.24018359,-0.03841138
16.40183,2.879236,149.7152,-1.3375871,-1.6844527,1.0441335,1.0510323,-0.34686553,0.006898761
13.048755,4.6658335,74.37577,0.2198436,-0.4595098,0.67785513,0.92448187,-0.67935336,0.24662673
14.266745,4.6658335,74.16358,0.22583108,-1.7109979,0.6663055,1.2722465,-1.936829,0.605941
14.628056,3.2140315,102.45848,-1.3776674,-1.5116466,1.2448758,1.243652,-0.1339792,-0.0012238026
16.717358,2.4596746,129.7687,-1.8350083,-1.4985528,1.154549,1.234877,0.33645546,0.08032799
16.717358,1.9209372,136.19447,-1.6532959,-1.7921759,1.2270381,1.1713144,-0.13888001,-0.055723786
10.479504,1.8330303,48.13223,-0.88546133,-1.0098867,0.5229282,0.80530155,-0.12442541,0.28237337
11.333578,2.4779024,34.20868,-0.90036213,-1.7599045,0.5955736,1.3071916,-0.85954237,0.711618
11.333578,2.4779024,34.20868,-1.0715891,-1.2995074,1.1375296,1.3293166,-0.22791827,0.191787
11.693159,0.8602326,56.65531,-1.722189,-1.5823486,1.3049256,1.3331182,0.13984036,0.02819264
13.853881,1.8138356,94.760086,-1.8157762,-0.33945996,1.3513237,1.434933,1.4763162,0.08360922
24.1456,10.589617,300.183,0.107648455,-1.4018112,-0.06897638,0.8781792,-1.5094597,0.9471556
49.299088,10.589617,1114.1069,-1.019741,-1.2158456,0.72148246,-0.46579152,-0.19610453,-1.187274
49.299088,9.394679,1175.321,-1.2165416,-0.9958371,-0.2174037,0.17196552,0.22070456,0.38936922
45.813644,13.23858,1175.321,-0.39512318,-0.25039768,0.7642161,0.5705384,0.1447255,-0.19367772
45.813644,13.23858,1083.0901,-0.28197497,-0.3158012,-0.13204654,-0.47739083,-0.033826232,-0.3453443
17.410917,5.8489313,256.85455,0.44638628,-0.5405637,-0.09748807,1.1493465,-0.98695,1.2468345
38.92814,8.35823,1235.3866,-0.46585757,-1.0893928,1.0764138,0.12940516,-0.6235352,-0.9470086
45.98489,12.615069,1576.6246,-0.75055015,-1.3774948,0.6030509,0.1505878,-0.62694466,-0.4524631
47.244896,12.615069,1576.6246,-0.46170884,-0.5862729,-0.5047983,-0.3349775,-0.12456405,0.16982079
53.222645,12.532358,1640.3359,-0.9939059,-1.1766987,-0.51726,-0.64785147,-0.18279278,-0.13059145
43.388824,7.5053315,978.6012,0.057995636,0.019462038,0.28184393,0.85629827,-0.0385336,0.5744543
53.69935,6.4969225,1735.4681,-1.4392431,-0.02066338,0.62548995,-0.30560437,1.4185797,-0.9310943
56.412144,8.187796,1735.4681,-0.75680625,-0.9047659,-0.5253687,-0.4277173,-0.14795965,0.09765139
56.412144,10.331021,1409.5214,-0.47346148,-0.04551815,0.50822115,0.832967,0.42794332,0.32474583
55.09383,10.331021,1338.0181,0.13786316,-0.44594812,0.7634615,0.29165465,-0.5838113,-0.47180682
45.253616,6.3663177,794.0348,0.2205718,-0.07477789,0.23227349,-0.09887377,-0.2953497,-0.33114725
45.253616,6.9742384,1090.7648,-0.14940473,-0.51156294,0.76301473,0.63214886,-0.3621582,-0.13086587
43.987495,16.459951,1090.7648,-0.35190132,-0.014556373,-0.0820962,-0.57055646,0.33734494,-0.48846027
42.380184,16.459951,1001.84796,-0.7102367,-0.5044067,-0.6400563,-0.3034888,0.20583004,0.33656752
41.694603,13.215521,1001.84796,-0.4766212,-0.81728286,0.24131492,0.55566764,-0.34066164,0.31435272
14.996666,6.797794,306.6517,0.77282304,-1.1141207,0.11835649,1.2654259,-1.8869438,1.1470695
14.996666,5.558777,91.12497,-1.3294098,-1.1042836,1.0177708,1.2621715,0.22512627,0.24440074
13.6926985,2.9410882,66.77308,-1.1122371,-1.0575734,1.2649169,0.9791411,0.05466366,-0.28577578
37.54797,3.7868192,759.96924,-1.1242044,0.12025784,1.2627622,-0.21066642,1.2444623,-1.4734286
37.54797,3.910243,759.96924,-1.0937985,-0.70262754,0.10107213,-0.7106749,0.39117098,-0.811747
41.611298,12.174152,624.6176,0.4781342,0.25278273,0.039503608,0.6668435,-0.22535148,0.62733984
46.92185,13.983205,797.19763,-1.0953212,-0.37041909,0.7252298,0.4804243,0.7249021,-0.24480549
46.92185,13.983205,909.87915,0.4356431,0.3511209,0.5650269,0.90736467,-0.08452222,0.3423378
45.070835,10.708875,909.87915,0.09789033,-0.748658,0.6210881,0.35672715,-0.8465483,-0.26436093
52.35542,9.864078,940.5573,-0.18686265,0.3191733,0.3856796,0.8908411,0.5060359,0.5051615
39.134766,6.7867517,657.8955,-0.22515869,-0.76592517,0.18128736,-0.06566869,-0.5407665,-0.24695605
44.834026,10.297572,1041.6075,-0.8882221,-0.6813966,0.1635541,-0.40349302,0.2068255,-0.5670471
44.834026,12.170045,1041.6075,0.1930695,0.12202437,0.29640377,0.5168458,-0.07104513,0.22044206
43.690273,12.170045,960.1042,0.20629661,-0.04942606,0.38571903,-0.042199254,-0.25572267,-0.4279183
43.939163,8.038034,1080.2161,-0.7317797,-0.6253865,-0.43278956,-0.39436355,0.10639322,0.03842601
21.849943,11.126994,236.15804,0.18998349,-1.7252964,-0.08850553,0.44596314,-1.9152799,0.53446865
23.006521,5.8898215,291.17233,-1.2326195,-1.3296766,1.1131384,-0.046252966,-0.097057104,-1.1593914
40.265743,7.585512,824.9426,-1.1134267,-1.5827421,0.39279753,0.35584843,-0.4693154,-0.036949098
40.265743,8.382124,1046.4708,-0.9059969,-1.2501541,0.025755197,-0.6326635,-0.34415722,-0.65841866
39.8812,8.382124,1046.4708,-0.8980883,-1.220001,-0.5814904,-0.48453298,-0.3219127,0.096957415
29.129023,6.73721,334.272,0.12389479,-1.0621378,-0.13691826,0.22092132,-1.1860327,0.35783958
43.158546,10.265964,881.9273,-0.5690197,-0.9824007,0.16327795,-0.74740136,-0.41338104,-0.91067934
43.158546,12.14084,1042.4471,-0.83130425,-1.1482177,-0.13478348,-0.41373318,-0.31691343,-0.2789497
42.887062,12.14084,1042.4471,-0.90097016,-1.8934273,0.49251026,0.39316478,-0.9924571,-0.099345475
41.011463,9.867624,886.41284,-1.1593597,-1.3457364,0.1953167,0.48531136,-0.18637669,0.28999466
14.203521,5.415718,92.658165,0.47238103,-1.0406084,-0.07462748,0.8267848,-1.5129894,0.90141225
29.02654,4.172529,351.89706,-1.0973637,-1.1238917,0.5322336,0.7806274,-0.026528,0.24839383
32.420055,3.8327534,395.23468,-1.2899013,-1.3860549,0.54872835,-0.3467087,-0.09615362,-0.895437
39.43222,5.2583265,560.4831,-1.4003347,-1.6412342,-0.22709508,-0.38584062,-0.24089944,-0.15874554
40.040226,5.2583265,640.0019,-0.5340427,-0.5255528,0.5168287,0.5700556,0.008489907,0.05322689
37.66338,9.022749,661.92993,0.13076934,-1.7799486,-0.009723952,0.066543,-1.910718,0.07626695
56.271572,10.975428,993.55585,-1.7081133,-1.6165587,1.1522151,0.14835528,0.09155464,-1.0038599
56.271572,10.975428,1254.5659,0.5111424,-0.88653374,0.8746644,-0.2202307,-1.3976761,-1.0948951
50.105988,10.945775,1254.5659,0.832986,-0.40795666,0.81432754,0.5840071,-1.2409427,-0.23032045
43.34536,10.823123,1041.4034,0.34407932,-0.32314098,0.6492263,0.8615731,-0.6672203,0.21234679
38.754745,8.346256,936.3786,0.017721664,-0.53325933,-0.015599127,-0.6414546,-0.550981,-0.62585545
48.175617,10.208329,1136.0789,-0.6664523,-0.07875098,-1.0210478,-0.8323315,0.5877013,0.18871635
48.175617,10.208329,1136.0789,-1.485332,-1.0681522,0.105310515,-0.19895281,0.41717982,-0.30426332
47.366867,9.140022,1038.7686,-1.7195009,-1.5689895,0.12093942,0.30951196,0.15051138,0.18857254
52.441776,8.468176,1010.40497,-0.65094274,-0.55376196,-0.4318326,-0.64514625,0.097180784,-0.21331364
49.266922,16.31962,1140.0076,0.92168677,-0.92176044,-0.049150627,0.19657551,-1.8434472,0.24572614
43.45998,6.7007465,745.1004,-0.9577157,-0.5122553,0.88086444,-0.5567274,0.44546038,-1.4375918
43.45998,6.738694,919.07544,-0.5313669,-1.5587218,0.35048157,0.33790416,-1.027355,-0.0125774145
39.21607,7.068946,919.07544,-0.49378866,-1.6613209,0.24916546,0.43390697,-1.1675322,0.18474151
41.49229,7.068946,939.665,-1.1903365,-0.27306503,-0.5080944,-0.7232469,0.91727144,-0.2151525
20.837706,6.6098413,198.50659,0.16780737,-1.2274929,0.17622158,0.46926364,-1.3953003,0.29304206
