comparison,feature,n_pos,n_neg,median_pos,median_neg,iqr_pos,iqr_neg,cohens_d,cliffs_delta,ks_statistic,mannwhitney_p,auroc,abs_auc,average_precision
bits_nonfall_vs_weda_nonfall,roll_min,480,155,-1.0827728509902954,-2.349606990814209,0.6191610097885132,1.869952917098999,0.9711874497430242,0.45379032258064517,0.43904569892473116,1.881615488299966e-17,0.7268951612903226,0.7268951612903226,0.8566733265011868
bits_nonfall_vs_weda_nonfall,gz_std,480,155,0.11066346615552902,0.5426546931266785,0.6189597980119288,0.7344859838485718,-0.5690816971228898,-0.4439247311827957,0.42634408602150536,9.097810959189478e-17,0.2780376344086022,0.7219623655913978,0.6548050200958653
bits_nonfall_vs_weda_nonfall,acc_mag_mean,480,155,9.8181471824646,10.201560020446777,0.22907257080078125,1.2816948890686035,-0.45709347901321695,-0.44188172043010754,0.4068548387096774,1.2554334436278955e-16,0.27905913978494623,0.7209408602150538,0.6554454550872807
bits_nonfall_vs_weda_nonfall,post_acc_mag_std,480,155,0.08475642651319504,1.193089485168457,0.9136532382108271,1.8047468662261963,-0.2930200784932859,-0.4285483870967742,0.42620967741935484,9.702805624913316e-16,0.28572580645161294,0.7142741935483871,0.6739369697434148
bits_nonfall_vs_weda_nonfall,ay_min,480,155,-3.6387078762054443,-8.399999618530273,5.230372905731201,9.998469352722168,0.5293433556818411,0.420994623655914,0.37473118279569895,3.107670288702825e-15,0.7104973118279571,0.7104973118279571,0.8715958163853993
bits_nonfall_vs_weda_nonfall,az_min,480,155,1.4870386719703674,-1.7105262279510498,2.353021454066038,7.706619322299957,0.7999897633303614,0.36760752688172044,0.4247983870967742,5.723497373418075e-12,0.6838037634408602,0.6838037634408602,0.8364201851970707
bits_nonfall_vs_weda_nonfall,ax_mean,480,155,-8.985592365264893,-1.8261014223098755,8.920864716172218,9.16602075099945,-0.634926418612244,-0.3521236559139785,0.359744623655914,4.2168504619115185e-11,0.3239381720430108,0.6760618279569892,0.6652792065534296
bits_nonfall_vs_weda_nonfall,pitch_mean,480,155,1.1086013317108154,0.1584019958972931,1.185203363187611,1.112527258694172,0.5988659313962356,0.34698924731182795,0.3341397849462366,8.02850625221109e-11,0.673494623655914,0.673494623655914,0.8496236509639643
bits_nonfall_vs_weda_nonfall,az_mean,480,155,1.9742156863212585,4.001935958862305,2.7377959489822388,4.937221884727478,-0.5358863034227583,-0.2989247311827957,0.32143817204301073,2.14785430713533e-08,0.35053763440860214,0.6494623655913978,0.6755524979069789
bits_nonfall_vs_weda_nonfall,roll_mean,480,155,-0.9165492057800293,-0.5592959523200989,0.5784028470516205,0.8793458342552185,-0.24755463954044826,-0.2278494623655914,0.24979838709677418,1.970899118487906e-05,0.3860752688172043,0.6139247311827958,0.7168807243275788
bits_nonfall_vs_weda_nonfall,gx_mean,480,155,-0.005060407333076,-0.0788680836558342,0.10487457877025008,0.4510541148483753,0.47832416749076057,0.2056451612903226,0.26196236559139785,0.00011706205013106042,0.6028225806451614,0.6028225806451614,0.7983271465998159
bits_nonfall_vs_weda_nonfall,tilt_delta_mean,480,155,0.0011356920003890991,0.04367576539516449,0.03117659711278975,0.3675868958234787,-0.24732858728174723,-0.16922043010752688,0.33783602150537634,0.0015252483798056866,0.4153897849462366,0.5846102150537634,0.6607515662070191
bits_nonfall_vs_weda_nonfall,ax_min,480,155,-9.29189682006836,-9.683333396911621,9.9024178981781,8.12574291229248,0.17479678490909273,0.1564247311827957,0.1771505376344086,0.0033879561890192123,0.5782123655913978,0.5782123655913978,0.8267781127163736
bits_nonfall_vs_weda_nonfall,ay_mean,480,155,-3.0337024927139282,-2.930446147918701,3.349085569381714,3.8681748509407043,-0.1999443435065027,-0.15161290322580645,0.20913978494623656,0.004511551445844124,0.4241935483870968,0.5758064516129032,0.7248930944430323
bits_nonfall_vs_weda_nonfall,gyro_peak_distance_from_center,480,155,16.0,14.0,15.0,12.5,0.20033649773304055,0.13291666666666666,0.17553763440860215,0.012554488775018633,0.5664583333333334,0.5664583333333334,0.8091414308850102
bits_nonfall_vs_weda_nonfall,roll_final_initial,480,155,0.0004528164863586426,-0.047534648329019547,0.13484560512006283,1.299830138683319,0.17686797132432627,0.11239247311827957,0.2609543010752688,0.035269489056333,0.5561962365591397,0.5561962365591397,0.737077831382242
bits_nonfall_vs_weda_nonfall,gy_mean,480,155,0.0005302310455590487,0.018841130658984184,0.06416406529024243,0.28505200520157814,-0.12775745766463917,-0.10602150537634408,0.20463709677419356,0.047044387076584794,0.44698924731182793,0.553010752688172,0.7007374219214835
bits_nonfall_vs_weda_nonfall,post_impact_energy,480,155,89.2011083984375,101.485517578125,101.10968872070312,114.26097412109378,-0.1437835541851073,-0.09669354838709678,0.11538978494623656,0.07011683407464371,0.4516532258064516,0.5483467741935484,0.725200715385469
bits_nonfall_vs_weda_nonfall,pre_impact_energy,480,155,113.67219238281251,126.15396484375,98.11724243164062,121.23047607421876,-0.10479563583163107,-0.07620967741935483,0.13850806451612904,0.153458603078719,0.46189516129032254,0.5381048387096774,0.7264655383676311
bits_nonfall_vs_weda_nonfall,tilt_delta_final,480,155,0.00022724270820617676,0.10399147868156433,0.2619318664073944,1.9180875420570374,0.2571004183497022,-0.07077956989247312,0.25725806451612904,0.18494038114859057,0.4646102150537635,0.5353897849462366,0.6880149668775086
bits_nonfall_vs_weda_nonfall,jerk_mean,480,155,0.0010145902633666992,0.06316521763801575,0.1774856559932232,1.7997522354125977,-0.1419206871986095,-0.05204301075268817,0.26700268817204303,0.32971153505835504,0.47397849462365593,0.5260215053763441,0.7064932316838902
bits_nonfall_vs_weda_nonfall,pitch_final_initial,480,155,0.0012153685092926025,0.020297907292842865,0.08282262086868286,0.5580090433359146,-0.15908929921711326,-0.04844086021505376,0.246505376344086,0.36429350883612766,0.4757795698924731,0.5242204301075268,0.7019060745347238
bits_nonfall_vs_weda_nonfall,gz_mean,480,155,0.00046425800246652216,0.0014339969493448734,0.10610607778653502,0.20666276663541794,0.025496175534011872,0.047526881720430104,0.17163978494623655,0.3734163481763836,0.5237634408602151,0.5237634408602151,0.7784907171172202
bits_nonfall_vs_weda_nonfall,impact_index,480,155,29.0,26.0,24.0,24.5,0.07214460232209827,0.040268817204301074,0.05221774193548387,0.450626615113802,0.5201344086021505,0.5201344086021505,0.763714530037242
bits_nonfall_vs_weda_nonfall,impact_distance_from_center,480,155,13.0,13.0,13.0,14.0,-0.040809715251125166,-0.024341397849462366,0.04966397849462366,0.6482769576795342,0.48782930107526884,0.5121706989247312,0.7451627069340299
bits_nonfall_vs_weda_nonfall,pre_post_energy_ratio,480,155,1.2819782681226428,1.2387090029272954,3.4359552364690007,3.320412476273043,0.0041205981760505574,0.02129032258064516,0.05450268817204301,0.6901952514095301,0.5106451612903226,0.5106451612903226,0.7602681454064704
bits_nonfall_vs_weda_nonfall,gyro_peak_index,480,155,25.0,25.0,32.0,28.0,-0.029354254395298932,-0.017836021505376345,0.09986559139784947,0.738283330561542,0.4910819892473118,0.5089180107526883,0.7746937055833123
bits_nonfall_vs_weda_nonfall,pitch_max,480,155,1.2312588095664978,0.9036347270011902,1.1705716103315353,0.9412737935781479,-0.0494738470562817,-0.009946236559139785,0.2079301075268817,0.8523841574444224,0.4950268817204301,0.5049731182795699,0.7579059791850111
weda_fall_vs_nonfall,impact_distance_from_center,25,155,0.0,13.0,0.0,14.0,-1.814434079010683,-0.9741935483870968,0.9741935483870968,4.974802471769816e-15,0.01290322580645159,0.9870967741935484,0.1388888888888889
weda_fall_vs_nonfall,acc_mag_range,25,155,36.71858596801758,10.984392166137695,8.514654159545898,15.190143346786499,2.357973101077902,0.912258064516129,0.7974193548387096,2.683898215057199e-13,0.9561290322580646,0.9561290322580646,0.8140877593075784
weda_fall_vs_nonfall,acc_mag_max,25,155,39.296566009521484,16.286418914794922,8.738765716552734,13.10940933227539,2.233963479327665,0.8797419354838709,0.7793548387096774,1.8000601492511606e-12,0.9398709677419355,0.9398709677419355,0.7359551654950879
weda_fall_vs_nonfall,post_acc_mag_std,25,155,6.317349433898926,1.193089485168457,2.443528652191162,1.8047468662261963,2.216125976432328,0.8766451612903225,0.8129032258064516,2.147929772297559e-12,0.9383225806451613,0.9383225806451613,0.6171795572632908
weda_fall_vs_nonfall,gy_min,25,155,-6.523077011108398,-1.5658535957336426,3.0596251487731934,1.5003651082515717,-2.428774944631239,-0.8668387096774194,0.7406451612903225,3.765985438582089e-12,0.06658064516129034,0.9334193548387096,0.07808253950585306
weda_fall_vs_nonfall,pitch_final_initial,25,155,-1.1326942443847656,0.020297907292842865,0.6430007219314575,0.5580090433359146,-1.7951383177846343,-0.8570322580645161,0.7716129032258064,6.588263296931946e-12,0.07148387096774195,0.9285161290322581,0.07814166522886516
weda_fall_vs_nonfall,az_range,25,155,41.27373504638672,12.13615608215332,17.826335906982422,16.088330507278442,2.185202756488445,0.8508387096774194,0.7509677419354839,9.294362416372353e-12,0.9254193548387097,0.9254193548387097,0.7318531389794428
weda_fall_vs_nonfall,ax_range,25,155,37.65262985229492,10.629473686218262,12.637855529785156,14.709046602249146,1.9954241530748085,0.8451612903225807,0.7677419354838709,1.2748387975803708e-11,0.9225806451612903,0.9225806451612903,0.5270337463374577
weda_fall_vs_nonfall,acc_mag_std,25,155,6.6695098876953125,1.913029432296753,2.1281371116638184,2.2222617864608765,2.023324768026017,0.8338064516129032,0.8,2.386528525330564e-11,0.9169032258064517,0.9169032258064517,0.5478487180867029
weda_fall_vs_nonfall,post_gyro_mag_std,25,155,2.4531829357147217,0.648429811000824,0.9549839496612549,1.0342082604765892,1.9193349505276984,0.8327741935483871,0.7677419354838709,2.508199531662923e-11,0.9163870967741935,0.9163870967741935,0.5312713590353064
weda_fall_vs_nonfall,ax_std,25,155,6.88814115524292,2.3784143924713135,2.2212023735046387,3.282608151435852,1.5905132671640128,0.816258064516129,0.7406451612903225,6.170739491965316e-11,0.9081290322580645,0.9081290322580645,0.4927569206459437
weda_fall_vs_nonfall,gy_range,25,155,10.397313117980957,3.501498222351074,7.032695770263672,3.612729072570801,1.977234432688795,0.8028387096774193,0.7612903225806451,1.2565828830189562e-10,0.9014193548387096,0.9014193548387096,0.6225609189811969
weda_fall_vs_nonfall,az_min,25,155,-15.666666030883789,-1.7105262279510498,11.98438835144043,7.706619322299957,-1.8445219834841975,-0.7971612903225807,0.6696774193548387,1.6896387039356256e-10,0.10141935483870966,0.8985806451612903,0.07995064964966876
weda_fall_vs_nonfall,jerk_std,25,155,94.32586669921875,31.308502197265625,30.29631805419922,41.589667320251465,1.6690545082587764,0.7873548387096774,0.8451612903225807,2.8283289838771935e-10,0.8936774193548388,0.8936774193548388,0.46009005903617795
weda_fall_vs_nonfall,gyro_mag_std,25,155,2.43583345413208,0.8946061134338379,0.6849348545074463,1.1152403056621552,1.5145970308869505,0.776,0.712258064516129,5.070458183278744e-10,0.888,0.888,0.4140497252762199
weda_fall_vs_nonfall,ay_range,25,155,32.002105712890625,9.237863540649414,16.09720802307129,14.356636047363281,1.695985114614398,0.7713548387096775,0.7070967741935484,6.410449188516906e-10,0.8856774193548387,0.8856774193548387,0.5047407690466814
weda_fall_vs_nonfall,acc_mag_p95,25,155,23.850552845001204,12.599883270263671,7.9743741035461255,5.214267158508294,1.6765119232072991,0.7708387096774194,0.7664516129032258,6.58296316454109e-10,0.8854193548387097,0.8854193548387097,0.4476195410974318
