comparison,feature,pos_group,neg_group,n_pos,n_neg,median_pos,median_neg,iqr_pos,iqr_neg,median_delta,cohens_d,ks_statistic,mannwhitney_p
weda_fn_vs_bits_tp,jerk_std,FN,BITS_TP,1,43,86.93724822998047,160.7373046875,0.0,124.38801574707031,-73.80005645751953,,0.7441860465116279,0.5454545454545455
weda_fn_vs_bits_tp,ax_range,FN,BITS_TP,1,43,33.625,65.01167297363281,0.0,40.32817077636719,-31.386672973632812,,0.7674418604651163,0.5000000000000001
weda_fn_vs_bits_tp,acc_mag_range,FN,BITS_TP,1,43,27.8387451171875,61.541194915771484,0.0,47.58241653442383,-33.702449798583984,,0.813953488372093,0.40909090909090917
weda_fn_vs_bits_tp,ay_range,FN,BITS_TP,1,43,34.960105895996094,47.79353332519531,0.0,44.15314769744873,-12.833427429199219,,0.6744186046511628,0.6818181818181818
weda_fn_vs_bits_tp,acc_mag_max,FN,BITS_TP,1,43,30.528114318847656,67.415283203125,0.0,49.089237213134766,-36.887168884277344,,0.8372093023255814,0.3636363636363637
weda_fn_vs_bits_tp,gy_range,FN,BITS_TP,1,43,16.42727279663086,6.495452880859375,0.0,5.61996054649353,9.931819915771484,,0.9767441860465116,0.09090909090909091
weda_fn_vs_bits_tp,az_min,FN,BITS_TP,1,43,-3.7776596546173096,-16.057910919189453,0.0,18.800230026245117,12.280251264572144,,0.9302325581395349,0.18181818181818182
weda_fn_vs_bits_tp,jerk_p95,FN,BITS_TP,1,43,116.58160820007322,158.29514694213867,0.0,134.4736576080318,-41.71353874206545,,0.7441860465116279,0.5454545454545455
weda_fn_vs_bits_tp,roll_range,FN,BITS_TP,1,43,4.712925910949707,5.75092887878418,0.0,1.0413644313812256,-1.0380029678344727,,0.7906976744186046,0.45454545454545464
weda_fn_vs_bits_tp,ax_std,FN,BITS_TP,1,43,6.88814115524292,10.360831260681152,0.0,5.4397783279418945,-3.4726901054382324,,0.7674418604651163,0.5000000000000001
weda_fn_vs_bits_tp,acc_mag_std,FN,BITS_TP,1,43,4.945472717285156,12.117897987365723,0.0,8.932822465896606,-7.172425270080566,,0.9069767441860465,0.2272727272727273
weda_fn_vs_bits_tp,gx_range,FN,BITS_TP,1,43,18.64939308166504,9.88673210144043,0.0,7.228856801986694,8.76266098022461,,0.9302325581395349,0.18181818181818182
weda_fn_vs_bits_tp,gyro_mag_range,FN,BITS_TP,1,43,20.944435119628906,8.174947738647461,0.0,4.149510622024536,12.769487380981445,,1.0,0.045454545454545456
weda_fn_vs_bits_tp,gyro_mag_max,FN,BITS_TP,1,43,21.085857391357422,8.543210983276367,0.0,4.581892013549805,12.542646408081055,,1.0,0.045454545454545456
weda_fn_vs_bits_tp,ay_std,FN,BITS_TP,1,43,6.460409641265869,8.05726432800293,0.0,5.62026834487915,-1.5968546867370605,,0.627906976744186,0.7727272727272726
weda_fn_vs_bits_tp,post_acc_mag_std,FN,BITS_TP,1,43,3.9801766872406006,6.758971691131592,0.0,5.9849913120269775,-2.778795003890991,,0.813953488372093,0.40909090909090917
weda_fn_vs_bits_tp,ay_max,FN,BITS_TP,1,43,4.825000286102295,16.508020401000977,0.0,15.590561389923096,-11.683020114898682,,0.9069767441860465,0.2272727272727273
weda_fn_vs_bits_tp,gy_std,FN,BITS_TP,1,43,2.266075849533081,1.525460124015808,0.0,1.0011569261550903,0.740615725517273,,0.7906976744186046,0.45454545454545464
