run_id,eval,dataset,n,E3_Fall_Precision,TN,FP,FN,TP,fall_precision,fall_recall,fall_f1,fall_accuracy,fall_auroc,fall_average_precision,direction_macro_f1,direction_accuracy,direction_n_supervised,forward_f1,backward_f1,lateral_f1,end_to_end_direction_macro_f1,end_to_end_direction_coverage,end_to_end_direction_correct_rate,E7_WEDA_FP_reduction_vs_A5_reference,model_type,feature_set,fall_expert,number_features,threshold,threshold_note,upper_bound_timing,deep_fall_used_for_final,direction_source,estimated_params_or_nodes,number_trees,max_depth,edge_suitability,complexity_notes
HYB_GB_Axis,E3,bits+weda,708.0,,622.0,13.0,21.0,52.0,0.8,0.7123287671232876,0.7536231884057971,0.9519774011299436,0.967889116600151,0.8480191158958027,0.8966626725247414,0.9016393442622951,61.0,0.9285714285714286,0.896551724137931,0.8648648648648649,0.6686557170428138,0.7049180327868853,0.6229508196721312,,hybrid_ml_fall_a5_direction,Axis,GB,10.0,0.6315355648535566,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,1472.0,100.0,3.0,medium,GradientBoosting trees=100.
HYB_GB_Axis,E6,bits,528.0,,474.0,6.0,14.0,34.0,0.85,0.7083333333333334,0.7727272727272727,0.9621212121212122,0.9714409722222221,0.8730755096997642,0.9350469350469351,0.9444444444444444,36.0,0.972972972972973,0.9230769230769231,0.9090909090909091,0.6103174603174603,0.6944444444444444,0.6388888888888888,,hybrid_ml_fall_a5_direction,Axis,GB,10.0,0.6315355648535566,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,1472.0,100.0,3.0,medium,GradientBoosting trees=100.
HYB_GB_Axis,E7,weda,180.0,,148.0,7.0,7.0,18.0,0.72,0.72,0.72,0.9222222222222223,0.9667096774193549,0.8560252505126378,0.8390350877192981,0.84,25.0,0.8421052631578947,0.875,0.8,0.6847662141779788,0.72,0.6,14.0,hybrid_ml_fall_a5_direction,Axis,GB,10.0,0.6315355648535566,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,1472.0,100.0,3.0,medium,GradientBoosting trees=100.
HYB_HGB_Axis,E3,bits+weda,708.0,,621.0,14.0,17.0,56.0,0.8,0.7671232876712328,0.7832167832167832,0.9562146892655368,0.9685255096537588,0.8846467064358777,0.8966626725247414,0.9016393442622951,61.0,0.9285714285714286,0.896551724137931,0.8648648648648649,0.7072811447811448,0.7704918032786885,0.6721311475409836,,hybrid_ml_fall_a5_direction,Axis,HGB,10.0,0.4979121338912134,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,100.0,100.0,,low,HistGradientBoosting iterations=100.
HYB_HGB_Axis,E6,bits,528.0,,478.0,2.0,13.0,35.0,0.9459459459459459,0.7291666666666666,0.8235294117647058,0.9715909090909091,0.9702907986111113,0.91766603294923,0.9350469350469351,0.9444444444444444,36.0,0.972972972972973,0.9230769230769231,0.9090909090909091,0.6337092731829573,0.7222222222222222,0.6666666666666666,,hybrid_ml_fall_a5_direction,Axis,HGB,10.0,0.4979121338912134,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,100.0,100.0,,low,HistGradientBoosting iterations=100.
HYB_HGB_Axis,E7,weda,180.0,,143.0,12.0,4.0,21.0,0.6363636363636364,0.84,0.7241379310344828,0.9111111111111111,0.9695483870967743,0.8579135367886568,0.8390350877192981,0.84,25.0,0.8421052631578947,0.875,0.8,0.7239251976094082,0.84,0.68,9.0,hybrid_ml_fall_a5_direction,Axis,HGB,10.0,0.4979121338912134,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,100.0,100.0,,low,HistGradientBoosting iterations=100.
HYB_LR_FullNoTiming,E3,bits+weda,708.0,,630.0,5.0,20.0,53.0,0.9137931034482759,0.726027397260274,0.8091603053435115,0.9646892655367232,0.9725595944342573,0.9076986766816664,0.8966626725247414,0.9016393442622951,61.0,0.9285714285714286,0.896551724137931,0.8648648648648649,0.7042735042735043,0.7377049180327869,0.639344262295082,,hybrid_ml_fall_a5_direction,FullNoTiming,LR,132.0,0.9464921044912047,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,133.0,0.0,0.0,high,LR 133 weights plus scaler.
HYB_LR_FullNoTiming,E6,bits,528.0,,478.0,2.0,13.0,35.0,0.9459459459459459,0.7291666666666666,0.8235294117647058,0.9715909090909091,0.97265625,0.9087933310960485,0.9350469350469351,0.9444444444444444,36.0,0.972972972972973,0.9230769230769231,0.9090909090909091,0.726984126984127,0.75,0.6944444444444444,,hybrid_ml_fall_a5_direction,FullNoTiming,LR,132.0,0.9464921044912047,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,133.0,0.0,0.0,high,LR 133 weights plus scaler.
HYB_LR_FullNoTiming,E7,weda,180.0,,152.0,3.0,7.0,18.0,0.8571428571428571,0.72,0.782608695652174,0.9444444444444444,0.9829677419354839,0.9150504654039731,0.8390350877192981,0.84,25.0,0.8421052631578947,0.875,0.8,0.6400560224089636,0.72,0.56,18.0,hybrid_ml_fall_a5_direction,FullNoTiming,LR,132.0,0.9464921044912047,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,133.0,0.0,0.0,high,LR 133 weights plus scaler.
HYB_RF_FullNoTiming,E3,bits+weda,708.0,,612.0,23.0,10.0,63.0,0.7325581395348837,0.863013698630137,0.7924528301886793,0.9533898305084746,0.971178945097616,0.8398860645783481,0.8966626725247414,0.9016393442622951,61.0,0.9285714285714286,0.896551724137931,0.8648648648648649,0.8070859538784068,0.8688524590163934,0.7704918032786885,,hybrid_ml_fall_a5_direction,FullNoTiming,RF,132.0,0.6691171548117155,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,2562.0,50.0,5.0,medium,"RF 50 trees depth<=5, total nodes=2562."
