acc_mag_peak,gyro_mag_peak
14.221463,3.6687872
22.075779,11.518681
13.351778,4.89183
15.69777,2.9681644
15.69777,3.0479503
32.193943,10.261091
47.55523,24.041214
47.55523,24.041214
26.065495,7.244998
16.044003,6.0241184
15.478372,6.0149813
14.853283,3.1670177
25.194443,9.306449
25.194443,9.306449
11.923086,2.0615528
13.146102,2.922328
14.196831,2.9883106
19.073805,6.697761
19.073805,6.697761
16.38841,6.519202
22.732796,7.70649
22.249945,3.713489
20.980467,7.3851204
17.049633,4.110961
43.824764,15.933926
43.824764,15.933926
25.779255,8.660831
15.520953,8.080841
16.087263,3.9522147
26.224796,7.3979726
26.224796,9.534149
24.620724,9.534149
16.254847,5.5263004
16.254847,5.5263004
15.963082,4.2107005
26.002693,7.839643
26.002693,8.08579
25.535074,8.08579
19.544308,13.239335
19.809341,9.721111
19.809341,8.929726
16.263456,5.11664
19.083761,7.4411025
10.824509,4.816638
14.394791,2.408319
14.394791,3.0066593
13.600735,3.0066593
58.772186,18.589514
58.772186,18.589514
46.934956,11.514773
11.475626,1.5165751
10.161693,0.31622776
13.823531,4.571652
13.823531,4.571652
14.145318,3.6414282
14.393401,3.6414282
21.324867,6.237788
26.011728,9.037699
26.011728,9.037699
15.403247,5.112729
15.0920515,3.716181
13.889204,3.1032243
14.207745,4.8332186
17.231077,4.2438188
17.231077,4.2438188
35.70714,8.072175
35.70714,8.072175
17.181677,7.1316195
10.9018345,1.8547237
14.141428,5.170106
14.909059,3.5791059
14.909059,3.8961518
26.035936,10.634849
26.035936,10.634849
11.776247,3.0099835
13.275541,4.5574117
13.275541,4.5574117
32.48769,11.311499
58.638813,21.687323
58.638813,21.687323
21.120842,7.4551997
25.502548,9.054281
14.912412,7.3837657
15.056228,6.2016125
15.056228,6.2016125
23.703587,3.7416575
39.760033,7.6478753
39.760033,8.734415
19.239023,8.734415
18.348024,5.288667
14.362103,4.8187137
12.376591,2.291288
16.411581,7.431016
14.627372,2.4248712
14.627372,2.4248712
26.54694,8.157205
26.54694,8.157205
17.913681,13.300752
19.716238,7.6131463
