run_id,experiment_id,train_protocol,test_dataset,model_name,model_type,feature_set,feature_count,threshold,threshold_note,TN,FP,FN,TP,fall_precision,fall_recall,fall_f1,accuracy,AUROC,average_precision,FP_reduction_vs_A5,complexity,complexity_note
FALL_HistGradientBoosting_FallNoTiming_Core_E3_BITS_WEDA_MIXED,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,weda,HistGradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.46443172683126877,best_val_f1_then_precision_with_recall088_tiebreak,146,9,1,24,0.7272727272727273,0.96,0.8275862068965517,0.9444444444444444,0.9821935483870967,0.8643054236884498,12,140,HistGradientBoosting max_iter=140
FALL_HistGradientBoosting_FallNoTiming_Core_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,weda,HistGradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.15481157432335432,best_val_f1_then_precision_with_recall088_tiebreak,87,68,0,25,0.26881720430107525,1.0,0.423728813559322,0.6222222222222222,0.9303225806451614,0.6636808901892499,-24,140,HistGradientBoosting max_iter=140
FALL_HistGradientBoosting_FallNoTiming_Core_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,bits,HistGradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.9968908416738408,best_val_f1_then_precision_with_recall088_tiebreak,476,4,27,21,0.84,0.4375,0.5753424657534246,0.9412878787878788,0.9676215277777777,0.7821593310514955,1,140,HistGradientBoosting max_iter=140
FALL_HistGradientBoosting_FallNoTiming_Core_E6_E3_MIXED_TEST_BITS,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED_REUSED,bits,HistGradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.46443172683126877,best_val_f1_then_precision_with_recall088_tiebreak,472,8,11,37,0.8222222222222222,0.7708333333333334,0.7956989247311828,0.9640151515151515,0.9832899305555556,0.911962661145966,-8,140,HistGradientBoosting max_iter=140
FALL_HistGradientBoosting_FallNoTiming_Core_E7_E3_MIXED_TEST_WEDA,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED_REUSED,weda,HistGradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.46443172683126877,best_val_f1_then_precision_with_recall088_tiebreak,146,9,1,24,0.7272727272727273,0.96,0.8275862068965517,0.9444444444444444,0.9821935483870967,0.8643054236884498,12,140,HistGradientBoosting max_iter=140
FALL_LogisticRegression_FallNoTiming_Full_E1_BITS_TO_BITS,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,LogisticRegression,fall_only_ml,FallNoTiming_Full,132,0.832635992230927,best_val_f1_then_precision_with_recall088_tiebreak,480,0,5,43,1.0,0.8958333333333334,0.945054945054945,0.990530303030303,0.99375,0.9754526064375116,2,133,LR params=133
FALL_LogisticRegression_FallNoTiming_Full_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,weda,LogisticRegression,fall_only_ml,FallNoTiming_Full,132,0.8451878593850544,best_val_f1_then_precision_with_recall088_tiebreak,149,6,1,24,0.8,0.96,0.8727272727272727,0.9611111111111111,0.9909677419354839,0.9487333443057583,-1,133,LR params=133
FALL_LogisticRegression_FallNoTiming_Full_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,bits+weda,LogisticRegression,fall_only_ml,FallNoTiming_Full,132,0.9464921044912047,best_val_f1_then_precision_with_recall088_tiebreak,630,5,20,53,0.9137931034482759,0.726027397260274,0.8091603053435115,0.9646892655367232,0.9725595944342573,0.9076986766816664,16,133,LR params=133
FALL_LogisticRegression_FallNoTiming_Full_E3_BITS_WEDA_MIXED,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,bits,LogisticRegression,fall_only_ml,FallNoTiming_Full,132,0.9464921044912047,best_val_f1_then_precision_with_recall088_tiebreak,478,2,13,35,0.9459459459459459,0.7291666666666666,0.8235294117647058,0.9715909090909091,0.97265625,0.9087933310960485,-2,133,LR params=133
FALL_LogisticRegression_FallNoTiming_Full_E3_BITS_WEDA_MIXED,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,weda,LogisticRegression,fall_only_ml,FallNoTiming_Full,132,0.9464921044912047,best_val_f1_then_precision_with_recall088_tiebreak,152,3,7,18,0.8571428571428571,0.72,0.782608695652174,0.9444444444444444,0.9829677419354839,0.9150504654039731,18,133,LR params=133
FALL_LogisticRegression_FallNoTiming_Full_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,weda,LogisticRegression,fall_only_ml,FallNoTiming_Full,132,0.832635992230927,best_val_f1_then_precision_with_recall088_tiebreak,76,79,2,23,0.22549019607843138,0.92,0.36220472440944884,0.55,0.8683870967741936,0.5294352305313799,-35,133,LR params=133
FALL_LogisticRegression_FallNoTiming_Full_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,bits,LogisticRegression,fall_only_ml,FallNoTiming_Full,132,0.8451878593850544,best_val_f1_then_precision_with_recall088_tiebreak,464,16,16,32,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9393939393939394,0.9328993055555556,0.7345700046178529,-11,133,LR params=133
FALL_LogisticRegression_FallNoTiming_Full_E6_E3_MIXED_TEST_BITS,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED_REUSED,bits,LogisticRegression,fall_only_ml,FallNoTiming_Full,132,0.9464921044912047,best_val_f1_then_precision_with_recall088_tiebreak,478,2,13,35,0.9459459459459459,0.7291666666666666,0.8235294117647058,0.9715909090909091,0.97265625,0.9087933310960485,-2,133,LR params=133
FALL_LogisticRegression_FallNoTiming_Full_E7_E3_MIXED_TEST_WEDA,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED_REUSED,weda,LogisticRegression,fall_only_ml,FallNoTiming_Full,132,0.9464921044912047,best_val_f1_then_precision_with_recall088_tiebreak,152,3,7,18,0.8571428571428571,0.72,0.782608695652174,0.9444444444444444,0.9829677419354839,0.9150504654039731,18,133,LR params=133
FALL_LinearSVM_FallNoTiming_Full_E1_BITS_TO_BITS,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,LinearSVM,fall_only_ml,FallNoTiming_Full,132,0.7683995405800186,best_val_f1_then_precision_with_recall088_tiebreak,480,0,8,40,1.0,0.8333333333333334,0.9090909090909091,0.9848484848484849,0.9728298611111111,0.9432641665511463,2,133,LinearSVM params~133
FALL_LinearSVM_FallNoTiming_Full_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,weda,LinearSVM,fall_only_ml,FallNoTiming_Full,132,0.5733108633193602,best_val_f1_then_precision_with_recall088_tiebreak,147,8,2,23,0.7419354838709677,0.92,0.8214285714285714,0.9444444444444444,0.984516129032258,0.9239311968680795,-3,133,LinearSVM params~133
FALL_LinearSVM_FallNoTiming_Full_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,bits+weda,LinearSVM,fall_only_ml,FallNoTiming_Full,132,0.8897351138787699,best_val_f1_then_precision_with_recall088_tiebreak,629,6,21,52,0.896551724137931,0.7123287671232876,0.7938931297709924,0.961864406779661,0.9721281415165569,0.9071432164077994,15,133,LinearSVM params~133
FALL_LinearSVM_FallNoTiming_Full_E3_BITS_WEDA_MIXED,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,bits,LinearSVM,fall_only_ml,FallNoTiming_Full,132,0.8897351138787699,best_val_f1_then_precision_with_recall088_tiebreak,478,2,13,35,0.9459459459459459,0.7291666666666666,0.8235294117647058,0.9715909090909091,0.9708333333333333,0.9073099911809371,-2,133,LinearSVM params~133
FALL_LinearSVM_FallNoTiming_Full_E3_BITS_WEDA_MIXED,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,weda,LinearSVM,fall_only_ml,FallNoTiming_Full,132,0.8897351138787699,best_val_f1_then_precision_with_recall088_tiebreak,151,4,8,17,0.8095238095238095,0.68,0.7391304347826086,0.9333333333333333,0.9809032258064516,0.9066380234144942,17,133,LinearSVM params~133
FALL_LinearSVM_FallNoTiming_Full_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,weda,LinearSVM,fall_only_ml,FallNoTiming_Full,132,0.7683995405800186,best_val_f1_then_precision_with_recall088_tiebreak,86,69,4,21,0.23333333333333334,0.84,0.3652173913043478,0.5944444444444444,0.784258064516129,0.3786814739462174,-25,133,LinearSVM params~133
