run_id,protocol_id,feature_set,model_name,feature,importance
FALLRED_RandomForest_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,RandomForest,acc_mag_p95,0.07736988443078802
FALLRED_RandomForest_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,RandomForest,gyro_mag_p95,0.056661727499108326
FALLRED_RandomForest_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,FallTop8_ImpactEnergy,RandomForest,jerk_std,0.18570733299692027
FALLRED_RandomForest_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,FallTop8_ImpactEnergy,RandomForest,acc_mag_max,0.17806145312290303
FALLRED_RandomForest_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,FallTop8_ImpactEnergy,RandomForest,acc_mag_range,0.1662067162623684
FALLRED_RandomForest_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,FallTop8_ImpactEnergy,RandomForest,acc_mag_std,0.1321667027225431
FALLRED_RandomForest_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,FallTop8_ImpactEnergy,RandomForest,post_acc_mag_std,0.09938198662773191
FALLRED_RandomForest_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,FallTop8_ImpactEnergy,RandomForest,jerk_p95,0.09517157847430076
FALLRED_RandomForest_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,FallTop8_ImpactEnergy,RandomForest,acc_mag_p95,0.08355023686755837
FALLRED_RandomForest_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,FallTop8_ImpactEnergy,RandomForest,gyro_mag_p95,0.059753992925674286
FALLRED_RandomForest_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,RandomForest,jerk_std,0.19700167612974798
