variant,experiment_id,fall_f1,fall_precision,fall_recall,FP,direction_macro_f1,params_direction,fall_feature_count,avg_fall_f1,E7_fall_f1,E7_FP,avg_direction_macro_f1,E7_direction_macro_f1
FallReduced_TinyGB20_d3_FallTop10_ImpactGyroPosture_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.7038244075979924,0.7,14.0,,
FallReduced_TinyGB20_d3_FallTop10_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.8321839080459771,0.7586206896551724,11.0,,
FallReduced_TinyGB20_d3_FallTop12_NoTimingCore_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.701089845826688,0.6944444444444444,22.0,,
FallReduced_TinyGB20_d3_FallTop12_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.8078794480755264,0.8,8.0,,
FallReduced_TinyGB20_d3_FallTop12_WithDirectionRelevant_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.7135357646040293,0.7142857142857143,20.0,,
FallReduced_TinyGB20_d3_FallTop8_ImpactEnergy_A5Direction,E3/E6/E7_avg,,,,,,,8.0,0.7219056785042072,0.7017543859649122,12.0,,
FallReduced_TinyGB30_d2_FallNoTiming_Core_16_A5Direction,E3/E6/E7_avg,,,,,,,16.0,0.6915799489328901,0.6756756756756757,24.0,,
FallReduced_TinyGB30_d2_FallNoTiming_Full_132_A5Direction,E3/E6/E7_avg,,,,,,,132.0,0.8119317972009896,0.7457627118644068,12.0,,
FallReduced_TinyGB30_d2_FallTop10_ImpactGyroPosture_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.668381598145559,0.6172839506172839,31.0,,
FallReduced_TinyGB30_d2_FallTop10_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.7959629941126997,0.7586206896551724,11.0,,
FallReduced_TinyGB30_d2_FallTop12_NoTimingCore_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.6655106425903402,0.6172839506172839,31.0,,
FallReduced_TinyGB30_d2_FallTop12_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.7964817704638957,0.7924528301886793,7.0,,
FallReduced_TinyGB30_d2_FallTop12_WithDirectionRelevant_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.694884419288997,0.6493506493506493,27.0,,
