pipeline,experiment_id,train_protocol,source,E2E_Direction_Macro_F1,coverage,correct_rate,forward_f1,backward_f1,lateral_f1,direction_n_supervised
D2_Micro_TCN_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.6951058201058201,0.92,0.68,0.625,0.8888888888888888,0.5714285714285714,25
D2_Micro_TCN_Direction_E4_BITS_TO_WEDA_seed42_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,lightweight_direction_with_best_fall,0.27017543859649124,0.96,0.32,0.6,0.0,0.21052631578947367,25
D2_Micro_TCN_Direction_E5_WEDA_TO_BITS_seed42_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,lightweight_direction_with_best_fall,0.5606060606060607,0.6944444444444444,0.5555555555555556,0.8484848484848485,0.3333333333333333,0.5,36
D2_Micro_TCN_Direction_E1_BITS_TO_BITS_seed42_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,lightweight_direction_with_best_fall,0.7272727272727274,0.8055555555555556,0.7222222222222222,0.8484848484848485,0.5,0.8333333333333334,36
D2_Micro_TCN_Direction_E2_WEDA_TO_WEDA_seed42_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,lightweight_direction_with_best_fall,0.5132275132275131,0.88,0.48,0.6666666666666666,0.42857142857142855,0.4444444444444444,25
D2_Micro_TCN_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.7228571428571429,0.8524590163934426,0.6885245901639344,0.84,0.6428571428571429,0.6857142857142857,61
D2_Micro_TCN_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.6486631016042781,0.8055555555555556,0.6666666666666666,0.8823529411764706,0.36363636363636365,0.7,36
D2_Micro_TCN_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.7467320261437909,0.92,0.72,0.75,0.8235294117647058,0.6666666666666666,25
D2_Micro_TCN_Direction_E4_BITS_TO_WEDA_seed42_lr0.0005,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,lightweight_direction_with_best_fall,0.3725981620718463,0.96,0.44,0.7368421052631579,0.0,0.38095238095238093,25
D2_Micro_TCN_Direction_E5_WEDA_TO_BITS_seed42_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,lightweight_direction_with_best_fall,0.4757936507936507,0.6944444444444444,0.5,0.875,0.26666666666666666,0.2857142857142857,36
