model_name,task,feature,class_name,native_importance,signed_coefficient,permutation_importance_mean,permutation_importance_std
logistic_regression,direction_classification,integrated_ay,,0.36154789513455304,,0.06257305296314583,0.005420651307593239
logistic_regression,direction_classification,integrated_ay,forward,0.0030237289553388426,0.0030237289553388426,,
logistic_regression,direction_classification,integrated_ay,backward,0.5423218427018295,-0.5423218427018295,,
logistic_regression,direction_classification,integrated_ay,lateral,0.5392981137464908,0.5392981137464908,,
logistic_regression,direction_classification,az_mean,,0.14354941448117997,,0.019659493306552145,0.015988861365479664
logistic_regression,direction_classification,az_mean,forward,0.17979831500345797,-0.17979831500345797,,
logistic_regression,direction_classification,az_mean,backward,0.035525806718312805,-0.035525806718312805,,
logistic_regression,direction_classification,az_mean,lateral,0.2153241217217691,0.2153241217217691,,
logistic_regression,direction_classification,az_std,,0.895966669412046,,0.09379446779201442,0.032898165904172785
logistic_regression,direction_classification,az_std,forward,0.2423557687128049,-0.2423557687128049,,
logistic_regression,direction_classification,az_std,backward,1.3439500041180672,1.3439500041180672,,
logistic_regression,direction_classification,az_std,lateral,1.1015942354052657,-1.1015942354052657,,
logistic_regression,direction_classification,az_min,,0.1721873183382168,,0.015482232241388737,0.016869992367216136
logistic_regression,direction_classification,az_min,forward,0.2582809775073252,-0.2582809775073252,,
logistic_regression,direction_classification,az_min,backward,0.04973859470398328,0.04973859470398328,,
logistic_regression,direction_classification,az_min,lateral,0.20854238280334192,0.20854238280334192,,
logistic_regression,direction_classification,az_max,,0.2737996616620926,,0.021637281005702037,0.016598798136528068
logistic_regression,direction_classification,az_max,forward,0.4106994924931399,-0.4106994924931399,,
logistic_regression,direction_classification,az_max,backward,0.0876824706989472,0.0876824706989472,,
logistic_regression,direction_classification,az_max,lateral,0.3230170217941907,0.3230170217941907,,
logistic_regression,direction_classification,az_range,,0.06343416737067352,,0.005919041213158849,0.007249315369371749
logistic_regression,direction_classification,az_range,forward,0.09515125105601,-0.09515125105601,,
logistic_regression,direction_classification,az_range,backward,0.02405404069105019,0.02405404069105019,,
logistic_regression,direction_classification,az_range,lateral,0.07109721036496039,0.07109721036496039,,
logistic_regression,direction_classification,az_final_initial,,0.15640658079281192,,0.0225059836824542,0.009715870436082949
logistic_regression,direction_classification,az_final_initial,forward,0.14707963615556677,0.14707963615556677,,
logistic_regression,direction_classification,az_final_initial,backward,0.23460987118921806,-0.23460987118921806,,
logistic_regression,direction_classification,az_final_initial,lateral,0.08753023503365098,0.08753023503365098,,
logistic_regression,direction_classification,az_median,,0.10499993556954045,,0.0068810892340303905,0.013762178468060781
logistic_regression,direction_classification,az_median,forward,0.15575029404897242,0.15575029404897242,,
logistic_regression,direction_classification,az_median,backward,0.15749990335431124,-0.15749990335431124,,
logistic_regression,direction_classification,az_median,lateral,0.0017496093053376983,0.0017496093053376983,,
logistic_regression,direction_classification,az_iqr,,0.9241651984675947,,0.0923208607865422,0.020353708671989476
logistic_regression,direction_classification,az_iqr,forward,0.4801733032657562,0.4801733032657562,,
logistic_regression,direction_classification,az_iqr,backward,1.3862477977013914,-1.3862477977013914,,
logistic_regression,direction_classification,az_iqr,lateral,0.9060744944356367,0.9060744944356367,,
logistic_regression,direction_classification,peak_signed_az,,0.26434790731635105,,0.059027275497863754,0.008963182290858766
logistic_regression,direction_classification,peak_signed_az,forward,0.13783798154073557,-0.13783798154073557,,
logistic_regression,direction_classification,peak_signed_az,backward,0.3965218609745274,0.3965218609745274,,
logistic_regression,direction_classification,peak_signed_az,lateral,0.25868387943379023,-0.25868387943379023,,
logistic_regression,direction_classification,integrated_az,,0.14354929241836362,,0.005919041213158849,0.007249315369371749
logistic_regression,direction_classification,integrated_az,forward,0.1797980690635005,-0.1797980690635005,,
logistic_regression,direction_classification,integrated_az,backward,0.03552586956404479,-0.03552586956404479,,
logistic_regression,direction_classification,integrated_az,lateral,0.21532393862754556,0.21532393862754556,,
logistic_regression,direction_classification,gx_mean,,0.17158011091783187,,0.047421775553870546,0.013449646854168431
logistic_regression,direction_classification,gx_mean,forward,0.1261931795326109,0.1261931795326109,,
logistic_regression,direction_classification,gx_mean,backward,0.13117698684413642,0.13117698684413642,,
logistic_regression,direction_classification,gx_mean,lateral,0.25737016637674837,-0.25737016637674837,,
logistic_regression,direction_classification,gx_std,,0.6629753014051498,,0.05830495440869885,0.015623111157281887
logistic_regression,direction_classification,gx_std,forward,0.9944629521077241,0.9944629521077241,,
logistic_regression,direction_classification,gx_std,backward,0.6917559723352165,-0.6917559723352165,,
logistic_regression,direction_classification,gx_std,lateral,0.3027069797725088,-0.3027069797725088,,
logistic_regression,direction_classification,gx_min,,0.18022359337375152,,0.008008565944193035,0.007579559625702523
logistic_regression,direction_classification,gx_min,forward,0.2703353900606276,-0.2703353900606276,,
logistic_regression,direction_classification,gx_min,backward,0.05583664139215051,0.05583664139215051,,
logistic_regression,direction_classification,gx_min,lateral,0.21449874866847646,0.21449874866847646,,
logistic_regression,direction_classification,gx_max,,0.5383879084469585,,0.06540176014093887,0.018973672978966124
logistic_regression,direction_classification,gx_max,forward,0.8075818626704359,-0.8075818626704359,,
logistic_regression,direction_classification,gx_max,backward,0.3489615381214446,0.3489615381214446,,
logistic_regression,direction_classification,gx_max,lateral,0.4586203245489951,0.4586203245489951,,
logistic_regression,direction_classification,gx_range,,0.1868000077280997,,0.026990548674759206,0.006133652746910073
logistic_regression,direction_classification,gx_range,forward,0.2802000115921506,-0.2802000115921506,,
logistic_regression,direction_classification,gx_range,backward,0.16292467184783235,0.16292467184783235,,
logistic_regression,direction_classification,gx_range,lateral,0.11727533974431625,0.11727533974431625,,
logistic_regression,direction_classification,gx_final_initial,,0.03222397132806925,,0.0029146017381311397,0.00582920347626228
logistic_regression,direction_classification,gx_final_initial,forward,0.02002120929009601,-0.02002120929009601,,
